t,y_interp
0.000000,0.000000
0.050000,0.045960
0.100000,0.091861
0.150000,0.137645
0.200000,0.183255
0.250000,0.228630
0.300000,0.273714
0.350000,0.318447
0.400000,0.362771
0.450000,0.406627
0.500000,0.449958
0.550000,0.492705
0.600000,0.534809
0.650000,0.576213
0.700000,0.616856
0.750000,0.656682
0.800000,0.695632
0.850000,0.733647
0.900000,0.770669
0.950000,0.806639
1.000000,0.841500
1.050000,0.853477
1.100000,0.864287
1.150000,0.873930
1.200000,0.882407
1.250000,0.889720
1.300000,0.895868
1.350000,0.900854
1.400000,0.904677
1.450000,0.907339
1.500000,0.908840
1.550000,0.909182
1.600000,0.908365
1.650000,0.906390
1.700000,0.903259
1.750000,0.898971
1.800000,0.893528
1.850000,0.886930
1.900000,0.879179
1.950000,0.870276
2.000000,0.860221
2.050000,0.849015
2.100000,0.836659
2.150000,0.823153
2.200000,0.808500
2.250000,0.772095
2.300000,0.734608
2.350000,0.696106
2.400000,0.656655
2.450000,0.616320
2.500000,0.575168
2.550000,0.533264
2.600000,0.490675
2.650000,0.447466
2.700000,0.403704
2.750000,0.359455
2.800000,0.314784
2.850000,0.269757
2.900000,0.224441
2.950000,0.178901
3.000000,0.133204
3.050000,0.087415
3.100000,0.041600
3.150000,0.001863
3.200000,-0.037789
3.250000,-0.077312
3.300000,-0.116661
3.350000,-0.155792
3.400000,-0.194661
3.450000,-0.233223
3.500000,-0.271434
3.550000,-0.309249
3.600000,-0.346625
3.650000,-0.383516
3.700000,-0.419878
3.750000,-0.455667
3.800000,-0.490838
3.850000,-0.525348
3.900000,-0.559151
3.950000,-0.592203
4.000000,-0.624461
4.050000,-0.655878
4.100000,-0.686412
4.150000,-0.716017
4.200000,-0.744649
4.250000,-0.772265
4.300000,-0.798818
4.350000,-0.824266
4.400000,-0.848563
4.450000,-0.871666
4.500000,-0.893529
4.550000,-0.914109
4.600000,-0.933361
4.650000,-0.951240
4.700000,-0.967703
4.750000,-0.982704
4.800000,-0.996200
4.850000,-0.977969
4.900000,-0.958253
4.950000,-0.937115
5.000000,-0.914622
5.050000,-0.890837
5.100000,-0.865824
5.150000,-0.839650
5.200000,-0.812377
5.250000,-0.784071
5.300000,-0.754797
5.350000,-0.724618
5.400000,-0.693599
5.450000,-0.661806
5.500000,-0.629302
5.550000,-0.596153
5.600000,-0.562422
5.650000,-0.528174
5.700000,-0.493475
5.750000,-0.458387
5.800000,-0.422977
5.850000,-0.387309
5.900000,-0.351447
5.950000,-0.315456
6.000000,-0.279400
